[2023-05-03 19:04:34,884] 15 root - INFO -model loaded
[2023-05-03 19:04:37,393] 224 werkzeug - WARNING - * Debugger is active!
[2023-05-03 19:04:37,405] 224 werkzeug - INFO - * Debugger PIN: 103-182-300
[2023-05-03 19:04:37,486] 224 werkzeug - INFO -127.0.0.1 - - [03/May/2023 19:04:37] "GET / HTTP/1.1" 200 -
[2023-05-03 19:04:37,521] 224 werkzeug - INFO -127.0.0.1 - - [03/May/2023 19:04:37] "GET /static/style.css HTTP/1.1" 200 -
[2023-05-03 19:04:37,584] 224 werkzeug - INFO -127.0.0.1 - - [03/May/2023 19:04:37] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[2023-05-03 19:04:54,237] 22 root - INFO -Input Image Taken
[2023-05-03 19:05:04,518] 25 root - INFO -Input image prediction done
[2023-05-03 19:05:04,795] 80 root - INFO -Total survival days : [561.46162922] 
[2023-05-03 19:05:06,682] 224 werkzeug - INFO -127.0.0.1 - - [03/May/2023 19:05:06] "POST /predict HTTP/1.1" 200 -
[2023-05-03 19:05:06,762] 224 werkzeug - INFO -127.0.0.1 - - [03/May/2023 19:05:06] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2023-05-03 19:26:49,128] 224 werkzeug - INFO - * Detected change in 'D:\\AA-SANYUKTAA\\Projects\\BrainTumorSegmentation\\FINAL\\app.py', reloading
